,"1 night, 2 adults
₱ 21,951₱ 5,488
Original price ₱ 21,951. Current price ₱ 5,488.
+₱ 1,852 taxes and charges","Breakfast included
Island Home Inn
Opens in new window
UkulhasShow on map
8.9
Scored 8.9
Fabulous
130 reviews
Location 9.4
Deluxe Double or Twin Room (Credit of US$20 for Whale Shark Watching & Manta Snorkelling - Terms & Conditions Applied)
Beds: 1 double or 2 singles
Breakfast included
Free cancellation
Only 3 rooms left at this price on our site
1 night, 2 adults
₱ 21,951₱ 5,488
Original price ₱ 21,951. Current price ₱ 5,488.
+₱ 1,852 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
130 reviews",Island Home Inn,Ukulhas,Deluxe Double or Twin Room (Credit of US$20 for Whale Shark Watching & Manta Snorkelling - Terms & Conditions Applied),3 out of 5
,"1 night, 2 adults
₱ 19,053
Price ₱ 19,053
+₱ 25,521 taxes and charges","All meals included
Adaaran Club Rannalhi - All Inclusive
Opens in new window
South Male AtollShow on map
8.6
Scored 8.6
Fabulous
376 reviews
Standard Room with 10% discount on excursions and USD 50 spa credit per person, per stay
Beds: 1 double or 2 singles
All meals included
1 night, 2 adults
₱ 19,053
Price ₱ 19,053
+₱ 25,521 taxes and charges
See availability","8.6
Scored 8.6
Fabulous
376 reviews",Adaaran Club Rannalhi - All Inclusive,South Male Atoll,"Standard Room with 10% discount on excursions and USD 50 spa credit per person, per stay",4 out of 5
,"1 night, 2 adults
₱ 103,792₱ 88,223
Original price ₱ 103,792. Current price ₱ 88,223.
+₱ 91,491 taxes and charges","All-inclusive
Emerald Faarufushi Resort & Spa - Deluxe All Inclusive
Opens in new window
Raa AtollShow on map
9.8
Scored 9.8
Exceptional
92 reviews
Location 9.6
Beach Villa with Pool
Entire villa • 1 bedroom • 1 bathroom • 172m²
2 beds (1 extra-large double, 1 sofa bed)
All-inclusive
Free cancellation
Only 7 left at this price on our site
1 night, 2 adults
₱ 103,792₱ 88,223
Original price ₱ 103,792. Current price ₱ 88,223.
+₱ 91,491 taxes and charges
See availability","9.8
Scored 9.8
Exceptional
92 reviews",Emerald Faarufushi Resort & Spa - Deluxe All Inclusive,Raa Atoll,Beach Villa with Pool,5 out of 5
,"1 night, 2 adults
₱ 51,253₱ 46,128
Original price ₱ 51,253. Current price ₱ 46,128.
+₱ 67,467 taxes and charges","All-inclusive
Adaaran Prestige Water Villas - with 24hrs Premium All Inclusive
Opens in new window
Raa AtollShow on map
9.4
Scored 9.4
Superb
88 reviews
Location 9.5
Villa with Jacuzzi - Premium Beverages and Sunset Fishing
Entire villa • 1 bedroom • 1 bathroom • 84m²
1 large double bed
All-inclusive
Only 3 left at this price on our site
1 night, 2 adults
₱ 51,253₱ 46,128
Original price ₱ 51,253. Current price ₱ 46,128.
+₱ 67,467 taxes and charges
See availability","9.4
Scored 9.4
Superb
88 reviews",Adaaran Prestige Water Villas - with 24hrs Premium All Inclusive,Raa Atoll,Villa with Jacuzzi - Premium Beverages and Sunset Fishing,5 out of 5
,"1 night, 2 adults
₱ 4,222
Price ₱ 4,222
+₱ 1,166 taxes and charges","Acacia Beach Hotel
Opens in new window
HulhumaleShow on map
7.8
Scored 7.8
Good
125 reviews
Deluxe Double Room
1 double bed
Free cancellation
1 night, 2 adults
₱ 4,222
Price ₱ 4,222
+₱ 1,166 taxes and charges
See availability","7.8
Scored 7.8
Good
125 reviews",Acacia Beach Hotel,Hulhumale,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 73,171₱ 51,219
Original price ₱ 73,171. Current price ₱ 51,219.
+₱ 40,928 taxes and charges","All-inclusive
Dhawa Ihuru - All Inclusive
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Male CityShow on map
9.2
Scored 9.2
Superb
377 reviews
Location 9.7
Getaway Deal
Beachfront Jet Pool Villa - Free transfer offer for minimum 3 Nights valid from 01 May 2024 until 30 Sep 2024
Multiple bed types
All-inclusive
Only 6 rooms left at this price on our site
1 night, 2 adults
₱ 73,171₱ 51,219
Original price ₱ 73,171. Current price ₱ 51,219.
+₱ 40,928 taxes and charges
See availability","9.2
Scored 9.2
Superb
377 reviews",Dhawa Ihuru - All Inclusive,Male City,Beachfront Jet Pool Villa - Free transfer offer for minimum 3 Nights valid from 01 May 2024 until 30 Sep 2024,5 out of 5
,"1 night, 2 adults
₱ 53,752₱ 41,927
Original price ₱ 53,752. Current price ₱ 41,927.
+₱ 11,909 taxes and charges","Konut by Thakuru
Opens in new window
GuraidhooShow on map
9.6
Scored 9.6
Exceptional
105 reviews
Location 9.6
Getaway Deal
Deluxe Twin Room
2 single beds
Breakfast included
Free cancellation
Only 1 room left at this price on our site
1 night, 2 adults
₱ 53,752₱ 41,927
Original price ₱ 53,752. Current price ₱ 41,927.
+₱ 11,909 taxes and charges
See availability","9.6
Scored 9.6
Exceptional
105 reviews",Konut by Thakuru,Guraidhoo,Deluxe Twin Room,4 out of 5
,"1 night, 2 adults
₱ 94,559₱ 75,647
Original price ₱ 94,559. Current price ₱ 75,647.
+₱ 21,554 taxes and charges","Breakfast included
Kuda Villingili Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
North Male AtollShow on map
9.3
Scored 9.3
Superb
584 reviews
Location 9.5
Getaway Deal
Water Villa
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Free cancellation
1 night, 2 adults
₱ 94,559₱ 75,647
Original price ₱ 94,559. Current price ₱ 75,647.
+₱ 21,554 taxes and charges
See availability","9.3
Scored 9.3
Superb
584 reviews",Kuda Villingili Maldives,North Male Atoll,Water Villa,5 out of 5
,"1 night, 2 adults
₱ 5,347
Price ₱ 5,347
+₱ 856 taxes and charges","Breakfast included
Fulidhoo Hathaa Retreat
Opens in new window
FulidhooShow on map
8.9
Scored 8.9
Fabulous
8 reviews
New to Booking.com
Deluxe Double Room
1 double bed
Breakfast included
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 5,347
Price ₱ 5,347
+₱ 856 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
8 reviews",Fulidhoo Hathaa Retreat,Fulidhoo,Deluxe Double Room,
,"1 night, 2 adults
₱ 4,503₱ 4,053
Original price ₱ 4,503. Current price ₱ 4,053.
+₱ 1,456 taxes and charges","Premier Beach
Opens in new window
GulhiShow on map
8.6
Scored 8.6
Fabulous
217 reviews
Location 9.7
Deluxe Double Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 4,503₱ 4,053
Original price ₱ 4,503. Current price ₱ 4,053.
+₱ 1,456 taxes and charges
See availability","8.6
Scored 8.6
Fabulous
217 reviews",Premier Beach,Gulhi,Deluxe Double Room,
,"1 night, 2 adults
₱ 3,369₱ 3,301
Original price ₱ 3,369. Current price ₱ 3,301.
+₱ 1,249 taxes and charges","Breakfast included
Pearlshine Retreat Maldives
Opens in new window
GulhiShow on map
8.3
Scored 8.3
Very good
267 reviews
Deluxe Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 6 rooms left at this price on our site
1 night, 2 adults
₱ 3,369₱ 3,301
Original price ₱ 3,369. Current price ₱ 3,301.
+₱ 1,249 taxes and charges
See availability","8.3
Scored 8.3
Very good
267 reviews",Pearlshine Retreat Maldives,Gulhi,Deluxe Double Room,
,"1 night, 2 adults
₱ 3,096
Price ₱ 3,096
+₱ 1,023 taxes and charges","Sorenzo Maldives
Opens in new window
ThoddooShow on map
8.9
Scored 8.9
Fabulous
60 reviews
Deluxe Double Room
1 large double bed
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 3,096
Price ₱ 3,096
+₱ 1,023 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
60 reviews",Sorenzo Maldives,Thoddoo,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 6,473₱ 6,149
Original price ₱ 6,473. Current price ₱ 6,149.
+₱ 1,322 taxes and charges","Tourist Inn Grand
Opens in new window
Male CityShow on map
9.1
Scored 9.1
Superb
427 reviews
Superior Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
Only 1 room left at this price on our site
1 night, 2 adults
₱ 6,473₱ 6,149
Original price ₱ 6,473. Current price ₱ 6,149.
+₱ 1,322 taxes and charges
See availability","9.1
Scored 9.1
Superb
427 reviews",Tourist Inn Grand,Male City,Superior Double or Twin Room,
,"1 night, 2 adults
₱ 201,394
Price ₱ 201,394
+₱ 55,585 taxes and charges","Breakfast included
JOALI Maldives
Opens in new window
Raa AtollShow on map
Sustainability certification
9.5
Scored 9.5
Exceptional
107 reviews
Location 9.3
Water Villa with Pool
1 extra-large double bed
Breakfast included
1 night, 2 adults
₱ 201,394
Price ₱ 201,394
+₱ 55,585 taxes and charges
See availability","9.5
Scored 9.5
Exceptional
107 reviews",JOALI Maldives,Raa Atoll,Water Villa with Pool,5 out of 5
,"1 night, 2 adults
₱ 3,799
Price ₱ 3,799
+₱ 608 taxes and charges","Black Pearl Himandhoo
Opens in new window
Himandhoo Show on map
8.9
Scored 8.9
Fabulous
18 reviews
Deluxe Room
Multiple bed types
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 3,799
Price ₱ 3,799
+₱ 608 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
18 reviews",Black Pearl Himandhoo,Himandhoo,Deluxe Room,3 out of 5
,"1 night, 2 adults
₱ 2,995
Price ₱ 2,995
+₱ 826 taxes and charges","Liberty Guesthouse Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MahibadhooShow on map
8.6
Scored 8.6
Fabulous
37 reviews
Deluxe Double Room
2 single beds
Breakfast included
1 night, 2 adults
₱ 2,995
Price ₱ 2,995
+₱ 826 taxes and charges
See availability","8.6
Scored 8.6
Fabulous
37 reviews",Liberty Guesthouse Maldives,Mahibadhoo,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 10,525₱ 7,368
Original price ₱ 10,525. Current price ₱ 7,368.
+₱ 2,371 taxes and charges","Breakfast included
Season Holidays at Hulhumale with Transfer
Opens in new window
HulhumaleShow on map
7.8
Scored 7.8
Good
431 reviews
Superior Twin Room
2 single beds
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 10,525₱ 7,368
Original price ₱ 10,525. Current price ₱ 7,368.
+₱ 2,371 taxes and charges
See availability","7.8
Scored 7.8
Good
431 reviews",Season Holidays at Hulhumale with Transfer,Hulhumale,Superior Twin Room,4 out of 5
,"1 night, 2 adults
₱ 5,910
Price ₱ 5,910
+₱ 1,969 taxes and charges","Breakfast included
LVIS blancura Hotel
Opens in new window
DharavandhooShow on map
9.2
Scored 9.2
Superb
189 reviews
Location 9.6
Budget Double Room with Sea View
1 large double bed
Breakfast included
Only 6 rooms left at this price on our site
1 night, 2 adults
₱ 5,910
Price ₱ 5,910
+₱ 1,969 taxes and charges
See availability","9.2
Scored 9.2
Superb
189 reviews",LVIS blancura Hotel,Dharavandhoo,Budget Double Room with Sea View,3 out of 5
,"1 night, 2 adults
₱ 3,827
Price ₱ 3,827
+₱ 950 taxes and charges","Beach Cottage
Opens in new window
RasduShow on map
9.2
Scored 9.2
Superb
218 reviews
Location 9.3
Deluxe Double Room with Shower
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 3,827
Price ₱ 3,827
+₱ 950 taxes and charges
See availability","9.2
Scored 9.2
Superb
218 reviews",Beach Cottage,Rasdu,Deluxe Double Room with Shower,3 out of 5
,"1 night, 2 adults
₱ 4,503
Price ₱ 4,503
+₱ 1,193 taxes and charges","Breakfast included
Royal Beach Dhigurah
Opens in new window
DhigurahShow on map
9.0
Scored 9.0
Superb
165 reviews
Budget Double Room
1 large double bed
Breakfast included
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 4,503
Price ₱ 4,503
+₱ 1,193 taxes and charges
See availability","9.0
Scored 9.0
Superb
165 reviews",Royal Beach Dhigurah,Dhigurah,Budget Double Room,3 out of 5
,"1 night, 2 adults
₱ 7,163
Price ₱ 7,163
+₱ 1,978 taxes and charges","Breakfast included
Clarks Exotica, Kamadhoo Maldives
Opens in new window
Baa AtollShow on map
9.1
Scored 9.1
Superb
48 reviews
Superior Sea View Double
1 double bed
Breakfast included
1 night, 2 adults
₱ 7,163
Price ₱ 7,163
+₱ 1,978 taxes and charges
See availability","9.1
Scored 9.1
Superb
48 reviews","Clarks Exotica, Kamadhoo Maldives",Baa Atoll,Superior Sea View Double,4 out of 5
,"1 night, 2 adults
₱ 62,476
Price ₱ 62,476
+₱ 93,904 taxes and charges","Breakfast included
Conrad Maldives Rangali Island
Opens in new window
MandhooShow on map
Sustainability certification
9.1
Scored 9.1
Superb
58 reviews
Location 9.6
Beach Villa
Entire villa • 1 bedroom • 150m²
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
1 night, 2 adults
₱ 62,476
Price ₱ 62,476
+₱ 93,904 taxes and charges
See availability","9.1
Scored 9.1
Superb
58 reviews",Conrad Maldives Rangali Island,Mandhoo,Beach Villa,5 out of 5
,"1 night, 2 adults
₱ 8,893
Price ₱ 8,893
+₱ 2,792 taxes and charges","Seasalter Maldives
Opens in new window
HulhumaleShow on map
7.8
Scored 7.8
Good
141 reviews
Deluxe Double Room (Free Return Airport Transfer and 10% off on Food & Beverage)
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 8,893
Price ₱ 8,893
+₱ 2,792 taxes and charges
See availability","7.8
Scored 7.8
Good
141 reviews",Seasalter Maldives,Hulhumale,Deluxe Double Room (Free Return Airport Transfer and 10% off on Food & Beverage),4 out of 5
,"1 night, 2 adults
₱ 15,197
Price ₱ 15,197
+₱ 4,532 taxes and charges","Casaparadiso - Beach View
Opens in new window
UkulhasShow on map
8.9
Scored 8.9
Fabulous
85 reviews
Location 9.7
Deluxe King Suite
Private suite • 1 bedroom • 1 living room • 1 bathroom • 28m²
2 beds (1 single, 1 extra-large double)
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site
1 night, 2 adults
₱ 15,197
Price ₱ 15,197
+₱ 4,532 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
85 reviews",Casaparadiso - Beach View,Ukulhas,Deluxe King Suite,3 out of 5
,"1 night, 2 adults
₱ 6,079
Price ₱ 6,079
+₱ 2,015 taxes and charges","Breakfast included
kunaa beach Inn
Opens in new window
FulidhooShow on map
8.7
Scored 8.7
Fabulous
34 reviews
Deluxe Double Room (2 Adults + 1 Child)
1 large double bed
Breakfast included
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 6,079
Price ₱ 6,079
+₱ 2,015 taxes and charges
See availability","8.7
Scored 8.7
Fabulous
34 reviews",kunaa beach Inn,Fulidhoo,Deluxe Double Room (2 Adults + 1 Child),
,"1 night, 2 adults
₱ 174,765
Price ₱ 174,765
+₱ 144,595 taxes and charges","Breakfast included
Anantara Kihavah Maldives Villas
Opens in new window
Baa AtollShow on map
Sustainability certification
9.7
Scored 9.7
Exceptional
74 reviews
Location 9.4
Beach Pool Villa
Entire villa • 1 bedroom • 1 bathroom • 258m²
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Only 4 left at this price on our site
1 night, 2 adults
₱ 174,765
Price ₱ 174,765
+₱ 144,595 taxes and charges
See availability","9.7
Scored 9.7
Exceptional
74 reviews",Anantara Kihavah Maldives Villas,Baa Atoll,Beach Pool Villa,5 out of 5
,"1 night, 2 adults
₱ 23,357
Price ₱ 23,357
+₱ 17,140 taxes and charges","Breakfast included
Hard Rock Hotel Maldives
Opens in new window
South Male AtollShow on map
9.1
Scored 9.1
Superb
896 reviews
Location 9.4
Room Assigned on Arrival
Breakfast included
1 night, 2 adults
₱ 23,357
Price ₱ 23,357
+₱ 17,140 taxes and charges
See availability","9.1
Scored 9.1
Superb
896 reviews",Hard Rock Hotel Maldives,South Male Atoll,Room Assigned on Arrival,5 out of 5
,"1 night, 2 adults
₱ 56,679₱ 39,675
Original price ₱ 56,679. Current price ₱ 39,675.
+₱ 37,742 taxes and charges","Breakfast included
Banyan Tree Vabbinfaru
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Male CityShow on map
9.0
Scored 9.0
Superb
335 reviews
Location 9.5
Getaway Deal
Oceanview Pool Villa - Free transfer offer for minimum 3 Nights valid from 01 May 2024 until 30 Sep 2024
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 56,679₱ 39,675
Original price ₱ 56,679. Current price ₱ 39,675.
+₱ 37,742 taxes and charges
See availability","9.0
Scored 9.0
Superb
335 reviews",Banyan Tree Vabbinfaru,Male City,Oceanview Pool Villa - Free transfer offer for minimum 3 Nights valid from 01 May 2024 until 30 Sep 2024,5 out of 5
,"1 night, 2 adults
₱ 3,659
Price ₱ 3,659
+₱ 585 taxes and charges","Breakfast included
Niru Isle Maldives
Opens in new window
GaafaruShow on map
9.1
Scored 9.1
Superb
36 reviews
Double Room with Terrace
1 double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 3,659
Price ₱ 3,659
+₱ 585 taxes and charges
See availability","9.1
Scored 9.1
Superb
36 reviews",Niru Isle Maldives,Gaafaru,Double Room with Terrace,3 out of 5
,"1 night, 2 adults
₱ 27,705
Price ₱ 27,705
+₱ 66,183 taxes and charges","Breakfast included
Reethi Faru, Bio Luxury Resort
Opens in new window
Raa AtollShow on map
8.8
Scored 8.8
Fabulous
319 reviews
Water Villa
Entire villa • 1 bedroom • 1 bathroom • 78m²
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
1 night, 2 adults
₱ 27,705
Price ₱ 27,705
+₱ 66,183 taxes and charges
See availability","8.8
Scored 8.8
Fabulous
319 reviews","Reethi Faru, Bio Luxury Resort",Raa Atoll,Water Villa,5 out of 5
,"1 night, 2 adults
₱ 78,574₱ 46,359
Original price ₱ 78,574. Current price ₱ 46,359.
+₱ 67,730 taxes and charges","Breakfast included
Kandolhu Maldives
Opens in new window
Himandhoo Show on map
9.7
Scored 9.7
Exceptional
90 reviews
Location 9.9
Limited-time Deal
Beach Villa
1 extra-large double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 78,574₱ 46,359
Original price ₱ 78,574. Current price ₱ 46,359.
+₱ 67,730 taxes and charges
See availability","9.7
Scored 9.7
Exceptional
90 reviews",Kandolhu Maldives,Himandhoo,Beach Villa,5 out of 5
,"1 night, 2 adults
₱ 5,572
Price ₱ 5,572
+₱ 1,876 taxes and charges","Breakfast included
Aagali Beach
Opens in new window
FulidhooShow on map
8.5
Scored 8.5
Very good
83 reviews
Double or Twin Room with Sea View
2 single beds
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 5,572
Price ₱ 5,572
+₱ 1,876 taxes and charges
See availability","8.5
Scored 8.5
Very good
83 reviews",Aagali Beach,Fulidhoo,Double or Twin Room with Sea View,3 out of 5
,"1 night, 2 adults
₱ 10,159₱ 4,571
Original price ₱ 10,159. Current price ₱ 4,571.
+₱ 1,599 taxes and charges","Paguro Villa
Opens in new window
UkulhasShow on map
9.2
Scored 9.2
Superb
149 reviews
Location 9.4
Deluxe Double or Twin Room with Garden View
1 large double bed
Only 7 rooms left at this price on our site
1 night, 2 adults
₱ 10,159₱ 4,571
Original price ₱ 10,159. Current price ₱ 4,571.
+₱ 1,599 taxes and charges
See availability","9.2
Scored 9.2
Superb
149 reviews",Paguro Villa,Ukulhas,Deluxe Double or Twin Room with Garden View,3 out of 5
,"1 night, 2 adults
₱ 5,066
Price ₱ 5,066
+₱ 1,148 taxes and charges","Breakfast included
Coco Villa
Opens in new window
ThoddooShow on map
9.5
Scored 9.5
Exceptional
200 reviews
Location 9.6
Deluxe Double or Twin Room with Garden View
Multiple bed types
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 5,066
Price ₱ 5,066
+₱ 1,148 taxes and charges
See availability","9.5
Scored 9.5
Exceptional
200 reviews",Coco Villa,Thoddoo,Deluxe Double or Twin Room with Garden View,3 out of 5
,"1 night, 2 adults
₱ 4,053
Price ₱ 4,053
+₱ 986 taxes and charges","Breakfast included
Vacanza Mathiveri
Opens in new window
MathiveriShow on map
9.3
Scored 9.3
Superb
88 reviews
Family Room
2 beds (1 extra-large double, 1 large double)
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 4,053
Price ₱ 4,053
+₱ 986 taxes and charges
See availability","9.3
Scored 9.3
Superb
88 reviews",Vacanza Mathiveri,Mathiveri,Family Room,
,"1 night, 2 adults
₱ 5,122
Price ₱ 5,122
+₱ 1,751 taxes and charges","TME Retreats Dhigurah
Opens in new window
DhigurahShow on map
8.6
Scored 8.6
Fabulous
178 reviews
Location 9.4
Deluxe Double Room
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site
1 night, 2 adults
₱ 5,122
Price ₱ 5,122
+₱ 1,751 taxes and charges
See availability","8.6
Scored 8.6
Fabulous
178 reviews",TME Retreats Dhigurah,Dhigurah,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 32,573
Price ₱ 32,573
+₱ 63,699 taxes and charges","Dinner included
Adaaran Select Meedhupparu - with 24hrs Premium All Inclusive
Opens in new window
MeedhooShow on map
8.6
Scored 8.6
Fabulous
231 reviews
Beach villa
1 large double bed
Dinner included
1 night, 2 adults
₱ 32,573
Price ₱ 32,573
+₱ 63,699 taxes and charges
See availability","8.6
Scored 8.6
Fabulous
231 reviews",Adaaran Select Meedhupparu - with 24hrs Premium All Inclusive,Meedhoo,Beach villa,5 out of 5
,"1 night, 2 adults
₱ 6,473₱ 5,178
Original price ₱ 6,473. Current price ₱ 5,178.
+₱ 1,767 taxes and charges","Breakfast included
Belvedere Thoddoo
Opens in new window
ThoddooShow on map
9.4
Scored 9.4
Superb
68 reviews
Location 9.4
Getaway Deal
Deluxe Double Room
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 6 rooms left at this price on our site
1 night, 2 adults
₱ 6,473₱ 5,178
Original price ₱ 6,473. Current price ₱ 5,178.
+₱ 1,767 taxes and charges
See availability","9.4
Scored 9.4
Superb
68 reviews",Belvedere Thoddoo,Thoddoo,Deluxe Double Room,4 out of 5
,"1 night, 2 adults
₱ 2,887
Price ₱ 2,887
Includes taxes and charges","EQUATOR RETREAT
Opens in new window
FuvahmulahShow on map
7.7
Scored 7.7
Good
4 reviews
Deluxe Double Room
1 double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 2,887
Price ₱ 2,887
Includes taxes and charges
See availability","7.7
Scored 7.7
Good
4 reviews",EQUATOR RETREAT,Fuvahmulah,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 5,854₱ 4,098
Original price ₱ 5,854. Current price ₱ 4,098.
+₱ 1,385 taxes and charges","Breakfast included
The Bilimbi Guesthouse & Inn
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
HuraaShow on map
9.3
Scored 9.3
Superb
63 reviews
Location 9.4
Getaway Deal
Deluxe Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 5,854₱ 4,098
Original price ₱ 5,854. Current price ₱ 4,098.
+₱ 1,385 taxes and charges
See availability","9.3
Scored 9.3
Superb
63 reviews",The Bilimbi Guesthouse & Inn,Huraa,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 1,114 taxes and charges","RV Thoddoo Maldives - Guest House
Opens in new window
ThoddooShow on map
9.3
Scored 9.3
Superb
51 reviews
Location 9.8
Deluxe Room
1 extra-large double bed
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 1,114 taxes and charges
See availability","9.3
Scored 9.3
Superb
51 reviews",RV Thoddoo Maldives - Guest House,Thoddoo,Deluxe Room,
,"1 night, 2 adults
₱ 3,377
Price ₱ 3,377
+₱ 1,270 taxes and charges","Malas Island View
Opens in new window
FulidhooShow on map
8.5
Scored 8.5
Very good
81 reviews
Deluxe Double Room
1 double bed
Breakfast included
Free cancellation
Only 1 room left at this price on our site
1 night, 2 adults
₱ 3,377
Price ₱ 3,377
+₱ 1,270 taxes and charges
See availability","8.5
Scored 8.5
Very good
81 reviews",Malas Island View,Fulidhoo,Deluxe Double Room,2 out of 5
,"1 night, 2 adults
₱ 4,503
Price ₱ 4,503
+₱ 1,580 taxes and charges","Breakfast included
Huvan Inn
Opens in new window
FulidhooShow on map
8.9
Scored 8.9
Fabulous
121 reviews
Location 9.3
Deluxe Double or Twin Room
2 single beds
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 4,503
Price ₱ 4,503
+₱ 1,580 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
121 reviews",Huvan Inn,Fulidhoo,Deluxe Double or Twin Room,3 out of 5
,"1 night, 2 adults
₱ 3,984
Price ₱ 3,984
+₱ 1,100 taxes and charges","Hotel Flora Inn Male Maldives
Opens in new window
Male CityShow on map
7.8
Scored 7.8
Good
415 reviews
Standard Double Room
1 large double bed
Free cancellation
1 night, 2 adults
₱ 3,984
Price ₱ 3,984
+₱ 1,100 taxes and charges
See availability","7.8
Scored 7.8
Good
415 reviews",Hotel Flora Inn Male Maldives,Male City,Standard Double Room,4 out of 5
,"1 night, 2 adults
₱ 45,366
Price ₱ 45,366
+₱ 91,883 taxes and charges","Breakfast included
Dusit Thani Maldives
Opens in new window
Baa AtollShow on map
9.0
Scored 9.0
Superb
114 reviews
Waterfront Pool Villa, 150sqm, Butler Service, Direct reef access
1 extra-large double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 45,366
Price ₱ 45,366
+₱ 91,883 taxes and charges
See availability","9.0
Scored 9.0
Superb
114 reviews",Dusit Thani Maldives,Baa Atoll,"Waterfront Pool Villa, 150sqm, Butler Service, Direct reef access",5 out of 5
,"1 night, 2 adults
₱ 2,280
Price ₱ 2,280
+₱ 967 taxes and charges","ilaa Beach Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
GulhiShow on map
8.5
Scored 8.5
Very good
376 reviews
Double Room with Garden View
1 large double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 2,280
Price ₱ 2,280
+₱ 967 taxes and charges
See availability","8.5
Scored 8.5
Very good
376 reviews",ilaa Beach Maldives,Gulhi,Double Room with Garden View,3 out of 5
,"1 night, 2 adults
₱ 38,555
Price ₱ 38,555
+₱ 11,317 taxes and charges","All-inclusive
VARU by Atmosphere - Premium All Inclusive with Free Transfers
Opens in new window
North Male AtollShow on map
9.4
Scored 9.4
Superb
853 reviews
Location 9.5
Beach Villa
Multiple bed types
All-inclusive
Only 3 rooms left at this price on our site
1 night, 2 adults
₱ 38,555
Price ₱ 38,555
+₱ 11,317 taxes and charges
See availability","9.4
Scored 9.4
Superb
853 reviews",VARU by Atmosphere - Premium All Inclusive with Free Transfers,North Male Atoll,Beach Villa,5 out of 5
